service	controller	annotation	path
booking-service	AdminNotificationController	GET	/api/v1/bookings/admin/notifications/thread/{threadId}
booking-service	AdminNotificationController	POST	/api/v1/bookings/admin/notifications/send
booking-service	AdminNotificationController	POST	/api/v1/bookings/admin/notifications/send-bulk
booking-service	AdminNotificationController	POST	/api/v1/bookings/admin/notifications/{id}/reply
booking-service	AdminNotificationController	DELETE	/api/v1/bookings/admin/notifications/{id}
booking-service	AdminNotificationController	POST	/api/v1/bookings/admin/notifications/clear-read
booking-service	AdminOpsController	POST	/api/v1/bookings/admin/ops/replay-dlt
booking-service	AdminOpsController	POST	/api/v1/bookings/admin/ops/outbox/retry-failed
booking-service	AdminOpsController	GET	/api/v1/bookings/admin/ops/health
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/rate-codes
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/rate-codes/active
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/rate-codes/{id}
booking-service	AdminPricingController	POST	/api/v1/bookings/admin/pricing/rate-codes
booking-service	AdminPricingController	PUT	/api/v1/bookings/admin/pricing/rate-codes/{id}
booking-service	AdminPricingController	PATCH	/api/v1/bookings/admin/pricing/rate-codes/{id}/toggle-active
booking-service	AdminPricingController	DELETE	/api/v1/bookings/admin/pricing/rate-codes/{id}
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/customer/{customerId}
booking-service	AdminPricingController	POST	/api/v1/bookings/admin/pricing/customer
booking-service	AdminPricingController	DELETE	/api/v1/bookings/admin/pricing/customer/{customerId}
booking-service	AdminPricingController	POST	/api/v1/bookings/admin/pricing/bulk-assign-rate-code
booking-service	AdminPricingController	PATCH	/api/v1/bookings/admin/pricing/customer/{customerId}/member-label
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/resolve/{customerId}
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/resolve-rate-code/{rateCodeId}
booking-service	AdminPricingController	GET	/api/v1/bookings/admin/pricing/customer-detail/{customerId}
booking-service	AdminRecoveryQueueController	GET	/api/v1/bookings/admin/recovery/stuck-pending
booking-service	AdminRecoveryQueueController	GET	/api/v1/bookings/admin/recovery/expired-holds
booking-service	AdminRecoveryQueueController	GET	/api/v1/bookings/admin/recovery/paid-not-confirmed
booking-service	AdminRecoveryQueueController	GET	/api/v1/bookings/admin/recovery/no-show
booking-service	AdminRecoveryQueueController	GET	/api/v1/bookings/admin/recovery/summary
booking-service	AdminRecoveryQueueController	POST	/api/v1/bookings/admin/recovery/expired-holds/{token}/release
booking-service	AdminRecoveryQueueController	POST	/api/v1/bookings/admin/recovery/stuck-pending/{bookingRef}/cancel
booking-service	AdminRecoveryQueueController	POST	/api/v1/bookings/admin/recovery/paid-not-confirmed/{bookingRef}/replay
booking-service	AdminRecoveryQueueController	GET	/api/v1/bookings/admin/recovery/funnel
booking-service	AdminRiskFlagController	GET	/api/v1/bookings/admin/risk-flags
booking-service	AdminRiskFlagController	GET	/api/v1/bookings/admin/risk-flags/booking/{bookingRef}
booking-service	AdminRiskFlagController	POST	/api/v1/bookings/admin/risk-flags/{id}/acknowledge
booking-service	AdminRiskFlagController	POST	/api/v1/bookings/admin/risk-flags/booking/{bookingRef}/manual
booking-service	AdminSseController	GET	/api/v1/bookings/admin/events/stream
booking-service	AdminSupportController	GET	/api/v1/bookings/admin/support/escalations
booking-service	AdminSupportController	GET	/api/v1/bookings/admin/support/{bookingRef}
booking-service	AdminSupportController	GET	/api/v1/bookings/admin/support/{bookingRef}/notes
booking-service	AdminSupportController	POST	/api/v1/bookings/admin/support/{bookingRef}/notes
booking-service	AdminSupportController	PATCH	/api/v1/bookings/admin/support/notes/{noteId}
booking-service	AdminSupportController	DELETE	/api/v1/bookings/admin/support/notes/{noteId}
booking-service	AdminSupportController	POST	/api/v1/bookings/admin/support/notes/{noteId}/pin
booking-service	AdminSupportController	POST	/api/v1/bookings/admin/support/{bookingRef}/resend-confirmation
booking-service	AdminSupportController	POST	/api/v1/bookings/admin/support/{bookingRef}/escalate
booking-service	AdminSupportController	POST	/api/v1/bookings/admin/support/{bookingRef}/goodwill
booking-service	AdminTaxController	GET	/api/v1/bookings/admin/taxes
booking-service	AdminTaxController	POST	/api/v1/bookings/admin/taxes
booking-service	AdminTaxController	PUT	/api/v1/bookings/admin/taxes/{id}
booking-service	AdminTaxController	DELETE	/api/v1/bookings/admin/taxes/{id}
booking-service	AdminTaxController	GET	/api/v1/bookings/admin/taxes/global
booking-service	AdminTaxController	POST	/api/v1/bookings/admin/taxes/global
booking-service	BingeController	GET	/api/v1/bookings/binges
booking-service	BingeController	GET	/api/v1/bookings/binges/nearby
booking-service	BingeController	GET	/api/v1/bookings/binges/{id}
booking-service	BingeController	GET	/api/v1/bookings/binges/{id}/customer-dashboard
booking-service	BingeController	GET	/api/v1/bookings/binges/{id}/customer-about
booking-service	BingeController	GET	/api/v1/bookings/binges/{id}/reviews/summary
booking-service	BingeController	GET	/api/v1/bookings/binges/{id}/reviews
booking-service	BingeController	GET	/api/v1/bookings/admin/binges
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/by-admin/{adminId}
booking-service	BingeController	POST	/api/v1/bookings/admin/binges
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/pending
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/{id}/approve
booking-service	BingeController	PATCH	/api/v1/bookings/admin/binges/{id}/taxes-enabled
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/{id}/reject
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/{id}/resubmit
booking-service	BingeController	PUT	/api/v1/bookings/admin/binges/{id}
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/{id}/country-request
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/{id}/timezone-request
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/change-requests
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/change-requests/{requestId}/approve
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/change-requests/{requestId}/reject
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/change-requests/{requestId}/cancel
booking-service	BingeController	POST	/api/v1/bookings/admin/binges/bulk-timezone
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/{id}/customer-dashboard
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/{id}/customer-about
booking-service	BingeController	PUT	/api/v1/bookings/admin/binges/{id}/customer-dashboard
booking-service	BingeController	PUT	/api/v1/bookings/admin/binges/{id}/customer-about
booking-service	BingeController	PATCH	/api/v1/bookings/admin/binges/{id}/toggle-active
booking-service	BingeController	DELETE	/api/v1/bookings/admin/binges/{id}
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/{id}/cancellation-tiers
booking-service	BingeController	PUT	/api/v1/bookings/admin/binges/{id}/cancellation-tiers
booking-service	BingeController	GET	/api/v1/bookings/binges/{id}/cancellation-tiers
booking-service	BingeController	GET	/api/v1/bookings/admin/binges/{id}/cancellation-policy
booking-service	BingeController	PUT	/api/v1/bookings/admin/binges/{id}/cancellation-policy
booking-service	BingeSiteContentController	GET	/api/v1/bookings/binges/{bingeId}/site-content/{slug}
booking-service	BingeSiteContentController	PUT	/api/v1/bookings/admin/binges/{bingeId}/site-content/{slug}
booking-service	BookingAnalyticsController	POST	/api/v1/bookings/analytics/funnel
booking-service	BookingController	POST	/api/v1/bookings
booking-service	BookingController	GET	/api/v1/bookings/{bookingRef}
booking-service	BookingController	GET	/api/v1/bookings/my
booking-service	BookingController	GET	/api/v1/bookings/my/current
booking-service	BookingController	GET	/api/v1/bookings/my/past
booking-service	BookingController	GET	/api/v1/bookings/my/reviews/pending
booking-service	BookingController	GET	/api/v1/bookings/event-types
booking-service	BookingController	GET	/api/v1/bookings/add-ons
booking-service	BookingController	GET	/api/v1/bookings/event-categories
booking-service	BookingController	GET	/api/v1/bookings/addon-categories
booking-service	BookingController	GET	/api/v1/bookings/booked-slots
booking-service	BookingController	GET	/api/v1/bookings/slot-capacity
booking-service	BookingController	POST	/api/v1/bookings/{bookingRef}/cancel
booking-service	BookingController	POST	/api/v1/bookings/{bookingRef}/reschedule
booking-service	BookingController	POST	/api/v1/bookings/recurring
booking-service	BookingController	GET	/api/v1/bookings/recurring/{groupId}
booking-service	BookingController	GET	/api/v1/bookings/{bookingRef}/reviews/customer
booking-service	BookingController	POST	/api/v1/bookings/{bookingRef}/reviews/customer
