method	path	clients	sources
GET	/api/v2/loyalty/super-admin/bindings	v2	frontend\src\services\loyaltyV2.js:188
GET	/api/v2/loyalty/super-admin/country-configs	v2	frontend\src\services\loyaltyV2.js:198
GET	/api/v2/loyalty/super-admin/customers/{}	v2	frontend\src\services\loyaltyV2.js:142
GET	/api/v2/loyalty/super-admin/customers/{}/ledger	v2	frontend\src\services\loyaltyV2.js:150
GET	/api/v2/loyalty/super-admin/perks	v2	frontend\src\services\loyaltyV2.js:176
GET	/api/v2/loyalty/super-admin/program	v2	frontend\src\services\loyaltyV2.js:161
GET	/api/v2/loyalty/super-admin/tier-perks	v2	frontend\src\services\loyaltyV2.js:155
GET	/api/v2/loyalty/super-admin/tiers	v2	frontend\src\services\loyaltyV2.js:167
PATCH	/api/v1/bookings/admin/{}	api	frontend\src\services\endpoints.js:327
PATCH	/api/v1/bookings/admin/{}/room	api	frontend\src\services\endpoints.js:334
PATCH	/api/v1/bookings/admin/addon-categories/{}/toggle-active	api	frontend\src\services\endpoints.js:391
PATCH	/api/v1/bookings/admin/addon-categories/global/{}/toggle-active	api	frontend\src\services\endpoints.js:397
PATCH	/api/v1/bookings/admin/add-ons/{}/toggle-active	api	frontend\src\services\endpoints.js:373
PATCH	/api/v1/bookings/admin/binges/{}/access-remarks	api	frontend\src\services\endpoints.js:539
PATCH	/api/v1/bookings/admin/binges/{}/taxes-enabled	api	frontend\src\services\endpoints.js:542
PATCH	/api/v1/bookings/admin/binges/{}/toggle-active	api	frontend\src\services\endpoints.js:522
PATCH	/api/v1/bookings/admin/event-categories/{}/toggle-active	api	frontend\src\services\endpoints.js:379
PATCH	/api/v1/bookings/admin/event-categories/global/{}/toggle-active	api	frontend\src\services\endpoints.js:385
PATCH	/api/v1/bookings/admin/event-types/{}/toggle-active	api	frontend\src\services\endpoints.js:367
PATCH	/api/v1/bookings/admin/pricing/customer/{}/member-label	api	frontend\src\services\endpoints.js:487
PATCH	/api/v1/bookings/admin/pricing/rate-codes/{}/toggle-active	api	frontend\src\services\endpoints.js:480
PATCH	/api/v1/bookings/admin/pricing/surge-rules/{}/toggle-active	api	frontend\src\services\endpoints.js:617
PATCH	/api/v1/bookings/admin/support/notes/{}	api	frontend\src\services\endpoints.js:636
PATCH	/api/v1/bookings/admin/venue-rooms/{}/toggle-active	api	frontend\src\services\endpoints.js:602
PATCH	/api/v1/bookings/waitlist/admin/{}/priority	api	frontend\src\services\endpoints.js:586
PATCH	/api/v1/payments/admin/disputes/{}/notes	api	frontend\src\services\endpoints.js:661
POST	/api/v1/auth/admin/admins/{}/demote	api	frontend\src\services\endpoints.js:86
POST	/api/v1/auth/admin/admins/{}/promote	api	frontend\src\services\endpoints.js:85
POST	/api/v1/auth/admin/bulk-ban	api	frontend\src\services\endpoints.js:62
POST	/api/v1/auth/admin/bulk-delete	api	frontend\src\services\endpoints.js:64
POST	/api/v1/auth/admin/bulk-unban	api	frontend\src\services\endpoints.js:63
POST	/api/v1/auth/admin/create-customer	api	frontend\src\services\endpoints.js:55
POST	/api/v1/auth/admin/customer/{}/temp-password	api	frontend\src\services\endpoints.js:56
POST	/api/v1/auth/admin/login	api	frontend\src\services\endpoints.js:32
POST	/api/v1/auth/admin/register	api	frontend\src\services\endpoints.js:33
POST	/api/v1/auth/authority/grants	api	frontend\src\services\endpoints.js:107
POST	/api/v1/auth/authority/locks	api	frontend\src\services\endpoints.js:112
POST	/api/v1/auth/change-email/confirm	api	frontend\src\services\endpoints.js:45
POST	/api/v1/auth/change-email/request	api	frontend\src\services\endpoints.js:44
POST	/api/v1/auth/forgot-password	api	frontend\src\services\endpoints.js:49
POST	/api/v1/auth/google	api	frontend\src\services\endpoints.js:31
POST	/api/v1/auth/login	api	frontend\src\services\endpoints.js:30
POST	/api/v1/auth/logout	api,axios	frontend\src\services\api.js:290;frontend\src\services\api.js:303;frontend\src\stores\authStore.ts:210
POST	/api/v1/auth/mfa/confirm	api	frontend\src\services\endpoints.js:67
POST	/api/v1/auth/mfa/disable	api	frontend\src\services\endpoints.js:68
POST	/api/v1/auth/mfa/enroll	api	frontend\src\services\endpoints.js:66
POST	/api/v1/auth/refresh	axios	frontend\src\services\api.js:212;frontend\src\services\api.js:82
POST	/api/v1/auth/register	api	frontend\src\services\endpoints.js:29
POST	/api/v1/auth/resend-verification	api	frontend\src\services\endpoints.js:71
POST	/api/v1/auth/reset-password	api	frontend\src\services\endpoints.js:50
POST	/api/v1/auth/sessions/revoke-others	api	frontend\src\services\endpoints.js:79
POST	/api/v1/auth/verify-email	api	frontend\src\services\endpoints.js:70
POST	/api/v1/auth/verify-otp	api	frontend\src\services\endpoints.js:51
POST	/api/v1/availability/admin/block-date	api	frontend\src\services\endpoints.js:346
POST	/api/v1/availability/admin/block-slot	api	frontend\src\services\endpoints.js:348
POST	/api/v1/bookings	api	frontend\src\services\endpoints.js:122
POST	/api/v1/bookings/{}/cancel	api	frontend\src\services\endpoints.js:129
POST	/api/v1/bookings/{}/reschedule	api	frontend\src\services\endpoints.js:130
POST	/api/v1/bookings/{}/reviews/customer	api	frontend\src\services\endpoints.js:148
POST	/api/v1/bookings/{}/transfers	api	frontend\src\services\endpoints.js:133
POST	/api/v1/bookings/{}/transfers/{}/revoke	api	frontend\src\services\endpoints.js:135
POST	/api/v1/bookings/admin/{}/cancel	api	frontend\src\services\endpoints.js:328
POST	/api/v1/bookings/admin/{}/check-in	api	frontend\src\services\endpoints.js:330
POST	/api/v1/bookings/admin/{}/check-in/otp/issue	api	frontend\src\services\endpoints.js:339
POST	/api/v1/bookings/admin/{}/check-in/qr/issue	api	frontend\src\services\endpoints.js:338
POST	/api/v1/bookings/admin/{}/checkout	api	frontend\src\services\endpoints.js:335
POST	/api/v1/bookings/admin/{}/confirm	api	frontend\src\services\endpoints.js:329
POST	/api/v1/bookings/admin/{}/invoice/resend	api	frontend\src\services\endpoints.js:401
POST	/api/v1/bookings/admin/{}/override-status	api	frontend\src\services\endpoints.js:432
POST	/api/v1/bookings/admin/{}/replay	api	frontend\src\services\endpoints.js:425
POST	/api/v1/bookings/admin/{}/reviews	api	frontend\src\services\endpoints.js:423
POST	/api/v1/bookings/admin/{}/undo-check-in	api	frontend\src\services\endpoints.js:336
POST	/api/v1/bookings/admin/addon-categories	api	frontend\src\services\endpoints.js:389
POST	/api/v1/bookings/admin/addon-categories/global	api	frontend\src\services\endpoints.js:395
POST	/api/v1/bookings/admin/add-ons	api	frontend\src\services\endpoints.js:371
POST	/api/v1/bookings/admin/audit	api	frontend\src\services\endpoints.js:413
POST	/api/v1/bookings/admin/binges	api	frontend\src\services\endpoints.js:500
POST	/api/v1/bookings/admin/binges/{}/approve	api	frontend\src\services\endpoints.js:529
POST	/api/v1/bookings/admin/binges/{}/country-request	api	frontend\src\services\endpoints.js:504
POST	/api/v1/bookings/admin/binges/{}/reject	api	frontend\src\services\endpoints.js:543
POST	/api/v1/bookings/admin/binges/{}/resubmit	api	frontend\src\services\endpoints.js:544
POST	/api/v1/bookings/admin/binges/bulk-timezone	api	frontend\src\services\endpoints.js:517
POST	/api/v1/bookings/admin/binges/change-requests/{}/approve	api	frontend\src\services\endpoints.js:510
POST	/api/v1/bookings/admin/binges/change-requests/{}/cancel	api	frontend\src\services\endpoints.js:514
POST	/api/v1/bookings/admin/binges/change-requests/{}/reject	api	frontend\src\services\endpoints.js:512
POST	/api/v1/bookings/admin/check-in/verify	api	frontend\src\services\endpoints.js:340
POST	/api/v1/bookings/admin/create-booking	api	frontend\src\services\endpoints.js:415
POST	/api/v1/bookings/admin/currencies	api	frontend\src\services\endpoints.js:226
POST	/api/v1/bookings/admin/currencies/{}/toggle	api	frontend\src\services\endpoints.js:227
POST	/api/v1/bookings/admin/currencies/refresh	api	frontend\src\services\endpoints.js:230
POST	/api/v1/bookings/admin/event-categories	api	frontend\src\services\endpoints.js:377
POST	/api/v1/bookings/admin/event-categories/global	api	frontend\src\services\endpoints.js:383
POST	/api/v1/bookings/admin/event-types	api	frontend\src\services\endpoints.js:365
POST	/api/v1/bookings/admin/freezes	api	frontend\src\services\endpoints.js:577
POST	/api/v1/bookings/admin/media/upload	api	frontend\src\services\endpoints.js:597
POST	/api/v1/bookings/admin/notifications/{}/read	api	frontend\src\services\endpoints.js:551
POST	/api/v1/bookings/admin/notifications/{}/reply	api	frontend\src\services\endpoints.js:564
POST	/api/v1/bookings/admin/notifications/clear-read	api	frontend\src\services\endpoints.js:568
POST	/api/v1/bookings/admin/notifications/read-all	api	frontend\src\services\endpoints.js:553
POST	/api/v1/bookings/admin/notifications/send	api	frontend\src\services\endpoints.js:560
POST	/api/v1/bookings/admin/notifications/send-bulk	api	frontend\src\services\endpoints.js:562
POST	/api/v1/bookings/admin/operational-date/advance	api	frontend\src\services\endpoints.js:408
POST	/api/v1/bookings/admin/operational-date/set	api	frontend\src\services\endpoints.js:411
POST	/api/v1/bookings/admin/ops/outbox/retry-failed	api	frontend\src\services\endpoints.js:594
POST	/api/v1/bookings/admin/ops/replay-dlt	api	frontend\src\services\endpoints.js:591
POST	/api/v1/bookings/admin/pricing/bulk-assign-rate-code	api	frontend\src\services\endpoints.js:486
POST	/api/v1/bookings/admin/pricing/customer	api	frontend\src\services\endpoints.js:484
POST	/api/v1/bookings/admin/pricing/rate-codes	api	frontend\src\services\endpoints.js:478
POST	/api/v1/bookings/admin/pricing/surge-rules	api	frontend\src\services\endpoints.js:615
POST	/api/v1/bookings/admin/recovery/expired-holds/{}/release	api	frontend\src\services\endpoints.js:452
